Date_Time_1,subjectsID,Group,Energy_Balance,actual_allmeters,actual_allmeters_cumsum,actual_foodupa,actual_pedmeters,actual_pedmeters_cumsum,actual_waterupa,bodymass,kcal_hr,locomotor_activity,rq,vco2,vh2o,vo2,xbreak,ybreak
2021-07-28 17:00:00,16,Group_2,-0.2951369257333333,3.980333333333334,8.370563333333333,0.2909450228,2.855496,6.508698,0.00695198,24.96739,0.3921186,409.3333333333333,0.8029142333333333,65.211508,9.977096,81.1963,97.0,312.3333333333333
2021-07-28 17:00:00,2,Group_3,-0.119937474,1.8935514666666664,2.8899230666666664,1.027594178,1.2755216666666664,1.8635466666666665,0.0,23.10728,0.4624688666666667,276.6666666666667,0.8334763000000001,79.18272,12.7617,95.12632,37.333333333333336,239.33333333333331
2021-07-28 17:00:00,3,Group_2,-0.1086845803999999,5.712364000000001,12.019672,1.1059735588,4.471404333333333,9.802431333333333,0.06833829,26.11554333333333,0.4773424333333333,474.0,0.8414163333333334,82.55232000000001,17.314344000000002,97.95474,91.33333333333331,382.6666666666667
2021-07-28 17:00:00,4,Control,-0.2906980984,1.1958396666666664,5.302885666666667,0.3217068048,0.6934286666666667,3.7220736666666663,0.00450019,24.43555333333333,0.3979337,106.66666666666669,0.7859607666666667,65.074742,11.521736,82.71021999999999,17.666666666666668,89.0
2021-07-28 17:00:00,5,Group_2,0.3442695186666669,2.110209833333333,2.237315333333333,2.3196340560000004,1.56201158,1.60357584,0.03128053,21.955556666666663,0.4289418333333333,267.6666666666667,0.8188988,72.4045,10.365966,88.52132,64.66666666666667,203.0
2021-07-28 17:00:00,6,Group_3,0.1383592359999999,3.583882666666667,8.921454666666667,1.770999608,2.557223666666667,6.902062666666668,0.0009569399999999,25.02226,0.4519739666666666,370.6666666666667,0.8761833666666666,80.58548,7.884195999999999,92.06966,115.33333333333331,255.33333333333331
2021-07-28 17:00:00,7,Control,-0.3452827208,0.2937393333333332,2.6656653333333336,0.0424724376,0.2009553333333333,1.7879513333333334,0.001056671,23.954876666666667,0.3594402,16.333333333333332,0.8092943,60.193884,5.9496888,74.31256,2.0,14.333333333333334
2021-07-28 17:00:00,8,Group_3,-0.3325860061333333,3.182507,7.663525999999999,0.1653988816,2.672963,6.332153999999999,0.0,21.51176,0.3877189666666666,193.66666666666663,0.7882087666666667,63.672872000000005,7.397682,80.51172,76.0,117.66666666666669
2021-07-28 17:00:00,9,Group_2,-0.2644928229333333,1.303636,5.641382,0.3774348312,0.7085413333333336,4.005297333333333,0.0,25.358453333333333,0.3903044333333333,194.0,0.755302,62.10762,7.961241999999999,81.60706,106.33333333333331,87.66666666666667
2021-07-28 18:00:00,1,Control,-0.1874018399999999,4.2556840000000005,7.791572266666667,1.03433308,3.440537666666668,5.6091414,0.1206724677999999,24.476996666666665,0.5321795333333333,381.6666666666667,0.8572640666666667,93.36806,9.764078,108.8339,182.33333333333331,199.33333333333331
