subjectsID,Group,Energy_Balance,actual_allmeters,actual_pedmeters,bodymass,kcal_hr,locomotor_activity,rq,vco2,vo2,vh2o,xbreak,ybreak,actual_foodupa,actual_waterupa,actual_allmeters_cumsum,actual_pedmeters_cumsum
1,Control,47.8580561751773,2.995438038297873,2.3888129581560285,24.880157163120565,0.460043824822695,355.4751773049645,0.8180567439716312,78.14963982978723,94.80089191489361,8.701518261702128,160.12765957446808,195.34751773049646,48.3181,7.847124999999997,140.04389961205672,110.22941027978719
4,Control,57.52760090673758,2.2388606099290773,1.5511194680851064,25.40315354609929,0.41410469326241134,282.25531914893617,0.8856384382978724,74.62987217021276,84.13196029787234,8.989576557446808,105.46808510638297,176.7872340425532,57.94170559999999,4.154423999999997,102.65547674113476,69.7653145496454
7,Control,53.59801715390071,1.7704030212765955,1.2063364964539003,24.727390886524823,0.39529244609929076,252.354609929078,0.8734074443262412,70.26252006382978,80.58414017021276,7.063526304255319,92.19148936170212,160.16312056737587,53.9933096,4.3198339999999975,80.69088797163118,56.97134143617023
10,Control,66.84018360460992,1.897689815602837,1.495870304964539,23.323826773049646,0.4074331953900709,203.7127659574468,0.8984628726950356,74.22707829787234,82.55215689361702,9.31367164893617,66.07446808510639,137.63829787234042,67.24761679999999,11.831059999999999,89.8548245567376,70.00561435106383
13,Control,55.18700955638298,1.6342163546099289,1.2543407588652482,26.2158154964539,0.4068760436170213,168.7375886524823,0.8767260219858156,72.55880625531915,82.87896717021276,9.543588859574468,9.677304964539006,159.06028368794327,55.5938856,9.743976999999996,77.96492413829789,59.1919150531915
3,Group_2,7.05167573468085,3.519044382978724,2.5914271418439716,26.754623368794324,0.5032103053191489,434.1063829787234,0.8196382053191489,85.60614721276596,103.6614840425532,15.178256910638298,90.06028368794325,344.04609929078015,7.554886039999999,10.786739999999996,180.47064078723406,135.06612873404256
5,Group_2,8.210181099432624,1.7755791170212767,1.254597973475177,22.783185780141846,0.4099388205673759,222.93971631205673,0.8473607794326241,71.69564187234043,83.89836085106383,8.912136644680851,53.95390070921985,168.98581560283688,8.62011992,3.7450479999999975,85.51472561879433,60.17461260333333
9,Group_2,9.793547375106384,2.330459546099291,1.6879472056737588,25.702357872340425,0.397839064893617,344.13829787234044,0.83076524964539,68.74223019148936,81.65698059574468,9.725753565957447,180.89007092198582,163.24822695035462,10.19138644,13.908339999999999,117.27016031205675,85.52561870212766
12,Group_2,9.351092186950353,3.81016014184397,3.177477304964539,23.662478368794325,0.35099717304964534,349.1063829787234,0.8720233730496454,62.5000389787234,71.52299640425531,8.36377964893617,95.78368794326241,253.32269503546098,9.702089359999999,15.013329999999998,190.29024528368794,159.02802886524827
16,Group_2,6.285117434680851,1.9705473758865244,1.3173212907801415,25.688641914893616,0.3790388053191489,280.84397163120565,0.9337724829787235,69.79293085106383,76.59168385106383,9.738050895744681,78.4645390070922,202.3794326241135,6.66415624,6.165580999999998,100.36905620567374,67.34273212056738
2,Group_3,17.065289113758865,1.9787015716312057,1.3914175531914894,23.75983744680851,0.4113525262411348,250.74468085106383,0.843279495035461,71.52309004255319,84.30550231914893,11.228480206382978,51.723404255319146,199.0212765957447,17.47664164,6.796883999999998,104.87386588085103,75.09156947517731
6,Group_3,13.17953537609929,2.205917177304965,1.5286229716312056,24.77485340425532,0.40664570390070925,288.89716312056737,0.8557762907801418,71.47951461702128,83.12340957446808,8.819899206382978,89.58156028368793,199.3156028368794,13.58618108,11.976199999999997,118.23838857446806,83.29279379787232
8,Group_3,14.58154074893617,2.2843011985815607,1.948951354609929,22.095888191489358,0.35860445106382977,219.44326241134752,0.8220865244680851,60.0820900212766,74.13185853191489,7.566846057446809,73.82624113475177,145.61702127659575,14.9401452,3.471781999999998,128.51013578368793,109.9988878687943
11,Group_3,16.68655617425532,2.536770411347518,2.118596524822695,20.333556382978724,0.33493234574468084,247.92198581560285,0.8273181340425532,57.198370106382974,68.93452040425532,6.882820057446809,102.89007092198581,145.03191489361703,17.02148852,3.4929939999999977,121.28746211702129,102.16016552836878
14,Group_3,11.182149351134752,2.8163447163120567,2.3686701773049643,23.253015567375886,0.3742372088652482,279.5248226950354,0.8140022535460992,63.55260425531915,77.12459561702127,8.338593514893617,117.78014184397163,161.74468085106383,11.55638656,5.422232999999998,139.75951089716312,117.91851581914891
15,Group_3,14.972478910283687,2.7729514397163118,2.1671511843971625,24.83503560283688,0.344385489716312,307.0070921985816,0.8539650439716312,61.07843108510638,70.24428999999999,9.509572870212766,76.75886524822695,230.2482269503546,15.3168644,7.956647999999999,151.0214449539007,119.85093132269505
